cu_num,M,N,K,kernelId,splitK,us,kernelName,tflops,bw,errRatio
304,104,6144,3072,18,0,15.897,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,246.96,1287.78,0.0
304,104,7168,256,8,0,4.6864,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,81.44,715.38,0.0
304,104,7168,2048,18,0,12.653,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,241.32,1294.87,0.0
304,104,7168,2304,18,0,13.4648,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,255.12,1355.06,0.0
304,112,512,7168,8,0,18.3095,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,44.9,250.55,0.0
304,112,576,7168,8,0,18.1192,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,51.04,279.3,0.0
304,112,1280,4096,8,0,12.6627,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,92.75,472.91,0.0
304,112,1536,7168,8,0,18.3591,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,134.33,662.17,0.0
304,112,1792,6144,8,0,16.3694,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,150.66,739.16,0.0
304,112,2112,7168,8,0,18.6433,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,181.89,880.46,0.0
304,112,2304,4096,8,0,12.3632,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,170.99,842.18,0.0
304,112,3072,1536,8,0,7.7926,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,135.64,715.9,0.0
304,112,3584,6144,18,0,23.4992,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,209.9,1000.5,0.0
304,112,4096,512,13,0,4.7324,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,99.27,649.14,0.0
304,112,4096,1024,8,0,6.6461,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,141.36,786.4,0.0
304,112,4096,2048,7,0,11.1821,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,168.04,852.75,0.0
304,112,4608,7168,18,0,27.754,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,266.58,1256.22,0.0
304,112,6144,1536,18,0,10.4959,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,201.41,1046.64,0.0
304,112,6144,3072,18,0,16.2048,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,260.9,1270.9,0.0
304,112,7168,256,8,0,4.585,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,89.65,756.67,0.0
304,112,7168,2048,18,0,12.9896,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,253.15,1271.41,0.0
304,112,7168,2304,18,0,13.6906,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,270.21,1342.44,0.0
304,120,512,7168,8,0,22.2536,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,39.58,209.09,0.0
304,120,576,7168,8,0,22.1695,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,44.7,231.27,0.0
304,120,1280,4096,8,0,14.0339,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,89.66,430.5,0.0
304,120,1536,7168,8,0,22.8718,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,115.53,535.11,0.0
304,120,1792,6144,8,0,19.6014,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,134.81,621.25,0.0
304,120,2112,7168,8,0,23.3688,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,155.48,706.32,0.0
304,120,2304,4096,8,0,14.1057,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,160.57,743.08,0.0
304,120,3072,1536,8,0,8.4556,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,133.93,667.04,0.0
304,120,3584,6144,18,0,24.1145,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,219.16,979.39,0.0
304,120,4096,512,13,0,4.7576,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,105.79,660.34,0.0
304,120,4096,1024,8,0,6.9152,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,145.57,766.46,0.0
304,120,4096,2048,18,0,11.0491,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,182.21,870.42,0.0
304,120,4608,7168,18,0,28.4802,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,278.34,1228.79,0.0
304,120,6144,1536,18,0,10.2279,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,221.45,1084.88,0.0
304,120,6144,3072,18,0,16.3593,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,276.9,1266.41,0.0
304,120,7168,256,8,0,4.5492,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,96.81,788.28,0.0
