cu_num,M,N,K,kernelId,splitK,us,kernelName,errRatio,tflops,bw
304,416,3072,4096,120,0,-1.0,a8w8_bpreshuffle_256x48x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8x8x1_1x2_intrawave_v1,1.0,-1.0,-1.0
304,416,3584,6144,120,0,-1.0,a8w8_bpreshuffle_256x48x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8x8x1_1x2_intrawave_v1,1.0,-1.0,-1.0
304,416,4096,640,76,0,-1.0,a8w8_bpreshuffle_256x32x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_2x1_intrawave_v1,1.0,-1.0,-1.0
304,416,4096,1024,120,0,-1.0,a8w8_bpreshuffle_256x48x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8x8x1_1x2_intrawave_v1,1.0,-1.0,-1.0
304,416,4096,3072,120,0,-1.0,a8w8_bpreshuffle_256x48x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8x8x1_1x2_intrawave_v1,1.0,-1.0,-1.0
304,416,5120,640,84,0,-1.0,a8w8_bpreshuffle_256x32x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_2x1_intrawave_v1,1.0,-1.0,-1.0
304,416,5120,2048,121,0,-1.0,a8w8_bpreshuffle_256x64x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8x8x1_1x2_intrawave_v3,1.0,-1.0,-1.0
304,416,6144,768,120,0,-1.0,a8w8_bpreshuffle_256x48x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8x8x1_1x2_intrawave_v1,1.0,-1.0,-1.0
304,416,6144,1024,122,0,-1.0,a8w8_bpreshuffle_256x80x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8x8x1_1x2_intrawave_v3,1.0,-1.0,-1.0
304,416,6144,1536,128,0,-1.0,a8w8_bpreshuffle_256x64x192x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8x8x1_2x1_intrawave_v3,1.0,-1.0,-1.0
304,416,6144,2048,128,0,-1.0,a8w8_bpreshuffle_256x64x192x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8x8x1_2x1_intrawave_v3,1.0,-1.0,-1.0
304,416,7168,256,73,0,-1.0,a8w8_bpreshuffle_256x32x256x64_16x16_16x16_4x32x1_4x64x1_1x32x1x8_8x8x1_2x1_intrawave_v1,1.0,-1.0,-1.0
304,416,7168,2304,124,0,-1.0,a8w8_bpreshuffle_256x112x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8x8x1_1x2_intrawave_v3,1.0,-1.0,-1.0
304,424,192,7168,11,0,-1.0,a8w8_bpreshuffle_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,424,512,7168,19,0,-1.0,a8w8_bpreshuffle_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v2,1.0,-1.0,-1.0
